Symbol,ETF Name,Asset Class,Total Assets ($MM),YTD Price Change,Avg. Daily Share Volume (3mo),Previous Closing Price
BIL,SPDR Bloomberg 1-3 Month T-Bill ETF,Bond,"$44,159",1.71%,"14,409,295",$91.74
VEU,Vanguard FTSE All-World ex-US Index Fund,Equity,"$43,966",13.96%,"3,116,837",$65.23
SCHG,Schwab U.S. Large-Cap Growth ETF,Equity,"$41,148",-1.02%,"13,441,981",$27.56
IWB,iShares Russell 1000 ETF,Equity,"$40,538",0.86%,"1,094,339",$324.08
IWR,iShares Russell Midcap ETF,Equity,"$40,269",0.94%,"2,319,353",$88.96
VV,Vanguard Large Cap ETF,Equity,"$40,216",1.11%,"618,555",$271.78
JEPI,JPMorgan Equity Premium Income Fund,Equity,"$39,767",0.17%,"5,413,626",$56.09
MUB,iShares National Muni Bond ETF,Bond,"$38,783",-1.51%,"6,940,690",$103.85
BSV,Vanguard Short-Term Bond ETF,Bond,"$38,044",2.66%,"3,117,603",$78.36
MBB,iShares MBS ETF,Bond,"$38,033",2.49%,"3,622,703",$92.65
DIA,SPDR Dow Jones Industrial Average ETF Trust,Equity,"$37,790",-0.12%,"3,326,126",$422.85
IVE,iShares S&P 500 Value ETF,Equity,"$37,567",-0.60%,"1,002,563",$188.99
VTEB,Vanguard Tax-Exempt Bond ETF,Bond,"$35,590",-1.59%,"8,674,881",$48.80
IEF,iShares 7-10 Year Treasury Bond ETF,Bond,"$34,891",3.58%,"11,237,409",$94.57
VCSH,Vanguard Short-Term Corporate Bond ETF,Bond,"$34,886",2.82%,"5,122,021",$79.09
SPYG,SPDR Portfolio S&P 500 Growth ETF,Equity,"$34,566",2.18%,"3,107,855",$89.69
XLV,Health Care Select Sector SPDR Fund,Equity,"$34,141",-3.21%,"10,711,802",$132.64
VNQ,Vanguard Real Estate ETF,Real Estate,"$33,224",1.30%,"3,598,800",$89.32
DFAC,Dimensional U.S. Core Equity 2 ETF,Equity,"$32,836",-0.75%,"3,016,034",$34.25
SCHB,Schwab U.S. Broad Market ETF,Equity,"$32,560",0.37%,"5,968,725",$22.72
IUSB,iShares Core Total USD Bond Market ETF,Bond,"$32,255",2.50%,"3,104,683",$45.70
VGIT,Vanguard Intermediate-Term Treasury ETF,Bond,"$31,344",3.52%,"4,014,566",$59.29
JPST,JPMorgan Ultra-Short Income ETF,Bond,"$31,034",2.01%,"7,611,164",$50.62
DGRO,iShares Core Dividend Growth ETF,Equity,"$30,815",1.76%,"2,090,053",$62.11
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,Bond,"$30,606",2.42%,"30,845,541",$107.77
VBR,Vanguard Small Cap Value ETF,Equity,"$28,637",-4.02%,"610,020",$188.98
VONG,Vanguard Russell 1000 Growth ETF,Equity,"$27,374",-0.34%,"1,502,775",$102.81
GOVT,iShares U.S. Treasury Bond ETF,Bond,"$27,274",0.18%,"14,870,576",$22.76
XLE,Energy Select Sector SPDR Fund,Equity,"$26,902",-4.08%,"18,112,859",$81.53
SPDW,SPDR Portfolio Developed World ex-US ETF,Equity,"$26,470",16.64%,"4,359,516",$39.81
JEPQ,JPMorgan NASDAQ Equity Premium Income ETF,Equity,"$26,063",-2.97%,"7,405,999",$52.63
MGK,Vanguard Mega Cap Growth ETF,Equity,"$25,626",0.42%,"557,769",$344.48
SPYV,SPDR Portfolio S&P 500 Value ETF,Equity,"$25,515",-0.55%,"3,317,703",$50.68
EFV,iShares MSCI EAFE Value ETF,Equity,"$25,073",21.29%,"3,818,213",$63.64
VGK,Vanguard FTSE Europe ETF,Equity,"$24,886",21.43%,"5,532,938",$76.76
TQQQ,ProShares UltraPro QQQ,Equity,"$24,250",-11.28%,"118,363,617",$70.00
SHY,iShares 1-3 Year Treasury Bond ETF,Bond,"$24,235",2.12%,"4,823,764",$82.65
USMV,iShares MSCI USA Min Vol Factor ETF,Equity,"$23,841",5.68%,"3,259,139",$93.51
BIV,Vanguard Intermediate-Term Bond ETF,Bond,"$22,890",3.60%,"1,516,805",$76.41
USHY,iShares Broad USD High Yield Corporate Bond ETF,Bond,"$22,573",2.95%,"17,329,037",$37.03
